Transport_ID,TripID,RouteID,StopID,StopName,WeekBeginning,NumberOfBoardings
T86,45493,168,14187,23 Shannon Av,2013-08-11 00:00:00,1
T87,50948,J1,14361,21G Gordon St,2013-12-01 00:00:00,2
T88,1517,744,16013,62 Majorca Rd,2014-01-05 00:00:00,1
T89,29658,720H,17970,Zone B Hallett Cove Shopping C,2013-11-17 00:00:00,1
T90,57020,300,12392,19 O G Rd,2014-01-05 00:00:00,2
T91,12879,W90,14889,28 Bradley Gr,2014-06-29 00:00:00,3
T92,64753,719,13775,2 Anzac Hwy,2014-02-16 00:00:00,2
T93,46470,178,12306,49A Silkes Rd,2013-10-13 00:00:00,2
T94,21154,C1,13328,H1 Grenfell St,2014-03-30 00:00:00,38
T95,56508,190,14281,13 Belair Rd,2013-09-01 00:00:00,1
T96,8144,543,11068,50 Riverside Dr,2013-11-10 00:00:00,1
T97,37239,682,17970,Zone B Hallett Cove Shopping C,2013-07-14 00:00:00,1
T98,44967,142,13490,12 Tusmore Av,2013-11-10 00:00:00,3
T99,56610,190B,13472,G1 Pulteney St,2013-10-20 00:00:00,6
T100,17674,208,13032,3A Melbourne St,2014-04-20 00:00:00,2
T101,36440,440,17124,Zone B Munno Para Shopping Cen,2013-07-28 00:00:00,12
T102,50553,H30,16335,32A Sportsmans Dr,2013-12-15 00:00:00,2
T103,28758,494,18259,169 Jack Cooper Dr,2014-06-01 00:00:00,1
T104,50550,H30,13371,B1 Currie St,2013-11-10 00:00:00,2
T105,956,401,10369,57 Waterloo Corner Rd,2013-08-18 00:00:00,2
T106,46496,178F,12628,21 Montacute Rd,2013-07-14 00:00:00,7
T107,50237,H22,16367,17A The Parade,2013-10-13 00:00:00,4
T108,28903,506,11383,67 Kelly Rd,2013-08-11 00:00:00,1
T109,44721,100,14101,169 Cross Rd,2013-07-07 00:00:00,1
T110,4168,M44G,14910,29 Finniss St,2013-07-07 00:00:00,1
T111,48738,720,15378,46 Aroona Rd,2013-11-10 00:00:00,11
T112,1389,190,14402,16 Bray St,2013-12-15 00:00:00,1
T113,57197,300U,14534,25B Diagonal Rd,2013-10-13 00:00:00,1
T114,47944,288,13155,22 Valetta Rd,2013-10-06 00:00:00,2
T115,11469,241,14218,12 Chitral Tce,2014-07-06 00:00:00,8
T116,9714,B10,13330,G3 Grenfell St,2014-04-20 00:00:00,19
T117,11233,H30,16419,6 Henley Beach Rd,2014-05-11 00:00:00,2
T118,14607,C1G,12126,Zone D Paradise Interchange,2014-04-13 00:00:00,2
T119,6995,230,12319,21 Regency Rd,2014-03-09 00:00:00,1
T120,27886,241,13891,6 Daly Av,2013-07-28 00:00:00,1
T121,27695,228F,10058,Zone A Smithfield Interchange,2014-05-04 00:00:00,3
T122,14985,G10,16275,Z2 King William St,2014-03-23 00:00:00,1
T123,16779,251,12540,18 Torrens Rd,2013-06-30 00:00:00,3
T124,63003,H33,16450,17 Henley Beach Rd,2013-12-29 00:00:00,2
T125,16350,M44,14259,13 Marion Rd,2014-02-16 00:00:00,1
T126,50769,H31C,12874,15 Marian Rd,2013-09-01 00:00:00,3
T127,53155,400,10232,Zone C Elizabeth Interchange,2013-11-03 00:00:00,2
T128,13469,230,12859,7 Jeffcott St,2014-03-16 00:00:00,1
T129,13499,232,11808,34 Newcastle St,2014-06-08 00:00:00,1
T130,27788,229,11136,39B Robert Cr,2013-09-29 00:00:00,2
T131,48851,722F,16002,64 Morton Rd,2013-09-22 00:00:00,2
T132,31031,861,13745,2 Glen Osmond Rd,2013-06-30 00:00:00,15
T133,1674,230,12050,30 Torrens Rd,2014-01-19 00:00:00,5
T134,50071,H20,16382,14 The Parade,2013-12-15 00:00:00,1
T135,46229,174,12375,22 Lower North East Rd,2014-01-12 00:00:00,2
T136,27429,224,10222,Zone D Elizabeth City Centre,2013-07-28 00:00:00,26
T137,37244,682,15457,53A Adams Rd,2013-08-11 00:00:00,2
T138,5628,100,17881,165A Cross Rd,2014-04-06 00:00:00,7
T139,57884,C1,12129,Zone C Paradise Interchange,2013-10-06 00:00:00,1
T140,10388,H21,12302,24A Darley Rd,2014-05-11 00:00:00,3
T141,46623,190,14385,15A Raglan Av,2013-06-30 00:00:00,1
T142,51000,J1,13353,V2 Currie St,2013-12-29 00:00:00,17
T143,11171,147,13672,5B Greenhill Rd,2014-03-16 00:00:00,9
T144,10493,W90,14429,18 Winston Av,2014-03-16 00:00:00,2
T145,50532,H30,17797,A1 Glover Av,2013-08-18 00:00:00,1
T146,3652,451,18120,74A Edgecombe Rd,2014-06-08 00:00:00,1
T147,52713,228,11444,29 Main North Rd,2013-07-21 00:00:00,2
T148,12207,238,12527,11 Churchill Rd,2013-10-27 00:00:00,4
T149,20103,503,11755,34D Valiant Rd,2014-05-04 00:00:00,1
T150,10273,141,13408,6 Kensington Rd,2014-05-04 00:00:00,6
T151,12406,239,17552,2 Montefiore Rd,2013-10-27 00:00:00,1
T152,56771,230,12968,5A Jeffcott St,2013-09-22 00:00:00,5
T153,27504,224F,17259,54C Oldham Rd,2013-09-08 00:00:00,6
T154,65451,744,16039,Zone D Colonnades Interchange,2013-12-22 00:00:00,2
T155,11995,251,13091,2 King William Rd,2014-03-02 00:00:00,4
T156,65026,720,14956,29A Sturt Rd,2014-03-30 00:00:00,1
T157,47431,241,14271,13A Towers Tce,2013-11-10 00:00:00,2
T158,45263,157,11858,36A First Av,2013-10-20 00:00:00,9
T159,36506,440,10228,Zone A Elizabeth Interchange,2013-09-01 00:00:00,41
T160,49572,B10,12998,27 Grange Rd,2013-06-30 00:00:00,1
T161,15160,G10,16289,E1 King William St,2014-07-06 00:00:00,2
T162,51614,W90,14430,18 Winston Av,2013-12-08 00:00:00,2
T163,27575,225,17529,Zone D Mawson Interchange,2014-04-06 00:00:00,1
T164,15853,G21,15336,43 Black Rd,2014-05-18 00:00:00,2
T165,36793,560,10222,Zone D Elizabeth City Centre,2014-06-22 00:00:00,5
T166,27319,222,11182,33A Mawson Lakes Bvd,2014-06-22 00:00:00,1
T167,19651,864,14895,43 Mount Barker Rd,2014-02-23 00:00:00,1
T168,15833,265,16588,Y1 Grote St,2013-10-06 00:00:00,1
T169,1609,230,11919,32 Addison Rd,2014-01-12 00:00:00,1
T170,7093,190,14446,22 Morphett Rd,2014-06-15 00:00:00,1
T171,14317,178,12033,41 Lower Athelstone Rd,2014-06-22 00:00:00,3
T172,31096,861,13802,6 Glen Osmond Rd,2013-09-15 00:00:00,2
T173,16257,M44,13339,F2 Grenfell St,2014-03-23 00:00:00,90
T174,51757,W91C,14072,11 East Av,2013-11-03 00:00:00,2
T175,15976,G10,14321,13 Goodwood Rd,2014-06-29 00:00:00,2
T176,36822,560,10441,52A Porter St,2014-02-16 00:00:00,1
T177,11686,155,12617,16 Port Rd,2014-06-15 00:00:00,2
T178,490,452,18150,74 Coventry Rd,2014-05-25 00:00:00,2
T179,53386,502,10889,43 Bridge Rd,2013-09-29 00:00:00,1
T180,27591,225F,12297,17 Main North Rd,2014-03-23 00:00:00,10
T181,53027,263,14764,31 Brighton Rd,2013-12-15 00:00:00,1
T182,6007,178S,12717,15 Payneham Rd,2014-04-13 00:00:00,1
T183,41000,B1,13846,4 Goodwood Rd,2013-06-30 00:00:00,7
T184,50775,H31C,12990,11 Coorara Av,2013-07-07 00:00:00,2
T185,65008,720,14970,Zone F Marion Interchange,2013-12-29 00:00:00,17
T186,7757,200,13721,1 King William Rd,2014-04-13 00:00:00,2
T187,6123,171,13707,1 Glen Osmond Rd,2014-03-09 00:00:00,3
T188,45488,168,14134,25 Blackburn Av,2013-07-28 00:00:00,1
T189,15703,263,14624,28 Brighton Rd,2014-03-02 00:00:00,1
T190,48480,591A,17608,72 Target Hill Rd,2013-08-04 00:00:00,1
T191,27966,245,14042,10 Anzac Hwy,2013-10-20 00:00:00,1
T192,42168,N3,16046,Zone G Noarlunga Centre Interc,2013-08-25 00:00:00,5
T193,49546,B10,12632,32 Frederick Rd,2013-08-18 00:00:00,1
T194,48739,720,14494,17 South Rd,2013-09-15 00:00:00,1
T195,7434,281,12317,21 Fourth Av,2014-02-09 00:00:00,3
T196,7170,230,12263,Zone F Arndale Interchange,2014-06-01 00:00:00,7
T197,1333,740,17691,83A Grand Bvd,2014-01-19 00:00:00,1
T198,53189,401,10420,53 Waterloo Corner Rd,2013-08-25 00:00:00,1
T199,9586,507,11401,42A Smart Rd,2014-02-23 00:00:00,1
T200,52660,224,10503,49 Church St,2013-07-28 00:00:00,3
T201,14822,C2X,10725,68 The Golden Wy,2014-06-01 00:00:00,6
T202,27690,228F,10110,76 Hamblynn Rd,2013-12-08 00:00:00,3
T203,56928,232,12320,18 Days Rd,2013-11-03 00:00:00,1
